Date, Time, Amount, Type, Description
2017-12-29,01:06:48,1787.75,Deposit,CARDIONET INC DIRECT DEP~ Future Amount: 1787.75 ~ Tran: DDIR
2017-12-15,00:10:39,0.31,Deposit,Interest Paid
2017-12-15,10:59:49,-1484.53,Withdrawal,Internet transfer to Online Savings account XXXXXX4736
2017-12-15,01:19:46,-64.17,Withdrawal,UNITED FIN CAS INS PREM~ Future Amount: 64.17 ~ Tran: ACHDW
2017-12-15,01:06:25,1843.13,Deposit,CARDIONET INC DIRECT DEP~ Future Amount: 1843.13 ~ Tran: DDIR
2017-12-12,03:09:59,-40,Withdrawal,PAYPAL INST XFER
2017-12-12,03:04:52,-80,Withdrawal,VENMO PAYMENT
2017-12-11,04:28:39,-3,Withdrawal,eRentPayment 8668525366
2017-12-08,05:06:33,-48.14,Withdrawal,RGE WEB_PAY
2017-12-07,04:08:33,-75,Withdrawal,VENMO PAYMENT
2017-12-05,05:12:07,-1000,Withdrawal,eRentPayment 8668525366
2017-12-04,03:15:14,-3954.11,Withdrawal,CAPITAL ONE CRCARDPMT
2017-12-01,09:09:02,-2000,Withdrawal,Internet transfer to Online Savings account XXXXXX4736
2017-12-01,01:35:37,1843.12,Deposit,CARDIONET INC DIRECT DEP~ Future Amount: 1843.12 ~ Tran: DDIR
2017-11-30,21:52:28,2500,Deposit,Internet transfer from Online Savings account XXXXXX4736
2017-11-27,05:10:37,-20,Withdrawal,VENMO PAYMENT
2017-11-17,00:49:21,1843.13,Deposit,CARDIONET INC DIRECT DEP~ Future Amount: 1843.13 ~ Tran: DDIR
2017-11-16,05:20:28,200,Deposit,PAYPAL TRANSFER
2017-11-15,00:06:00,0.35,Deposit,Interest Paid
2017-11-15,01:04:19,-64.17,Withdrawal,UNITED FIN CAS INS PREM~ Future Amount: 64.17 ~ Tran: ACHDW
2017-11-13,05:48:29,-1,Withdrawal,"USPS.COM MOVER'S GUIDE 800-238-3150, TN, US"
2017-11-10,05:02:56,-3,Withdrawal,eRentPayment 8668525366
2017-11-06,03:12:18,-1000,Withdrawal,eRentPayment 8668525366
2017-11-03,08:25:36,-2000,Withdrawal,Internet transfer to Online Savings account XXXXXX4736
2017-11-03,05:06:56,-49.8,Withdrawal,RGE WEB_PAY
2017-11-03,03:18:52,0.05,Deposit,eRentVerify 8668525366
2017-11-03,03:18:52,0.07,Deposit,eRentVerify 8668525366
2017-11-03,01:23:23,1935.31,Deposit,CARDIONET INC DIRECT DEP~ Future Amount: 1935.31 ~ Tran: DDIR
2017-11-02,03:15:50,-1972.29,Withdrawal,CAPITAL ONE CRCARDPMT
2017-10-30,05:17:16,347.6,Deposit,VENMO CASHOUT
2017-10-20,01:07:42,1607.81,Deposit,CARDIONET INC DIRECT DEP~ Future Amount: 1607.81 ~ Tran: DDIR
2017-10-17,01:28:52,-64.17,Withdrawal,UNITED FIN CAS INS PREM~ Future Amount: 64.17 ~ Tran: ACHDW
2017-10-15,23:37:12,0.25,Deposit,Interest Paid
2017-10-13,01:24:11,-25.44,Withdrawal,PAYPAL INST XFER~ Future Amount: 25.44 ~ Tran: ACHDW
2017-10-10,02:39:44,-1500,Withdrawal,VENMO PAYMENT
2017-10-04,03:07:33,-18,Withdrawal,VENMO PAYMENT
2017-10-03,08:05:08,346,Deposit,VENMO CASHOUT
2017-10-03,04:00:36,0.15,Deposit,VENMO VERIFYBAN
2017-10-03,04:00:36,0.18,Deposit,VENMO VERIFYBAN
2017-10-03,04:00:36,-0.15,Withdrawal,VENMO VERIFYBAN
2017-10-03,04:00:36,-0.18,Withdrawal,VENMO VERIFYBAN
2017-10-02,05:02:51,-0.24,Withdrawal,PAYPAL VERIFYBANK
2017-10-02,05:02:47,0.11,Deposit,PAYPAL VERIFYBANK
2017-10-02,05:02:47,0.13,Deposit,PAYPAL VERIFYBANK
